country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,176M,178M,180M,183M,185M,187M,189M,191M,193M,195M,196M,198M,200M,202M,203M,205M,207M,209M,210M,212M
Egypt,71.4M,72.9M,74.4M,76M,77.5M,79.1M,80.6M,82.2M,83.8M,85.5M,87.3M,89.2M,91.2M,93.4M,95.6M,97.7M,99.8M,102M,104M,106M
Greece,11M,11.1M,11.1M,11.1M,11.1M,11.1M,11.1M,11.1M,11.1M,11.1M,11M,11M,11M,10.9M,10.9M,10.8M,10.7M,10.7M,10.6M,10.6M
India,1.06B,1.08B,1.1B,1.12B,1.14B,1.15B,1.17B,1.19B,1.21B,1.22B,1.24B,1.26B,1.27B,1.29B,1.31B,1.32B,1.34B,1.35B,1.37B,1.38B
South Africa,46.8M,47.2M,47.7M,48.1M,48.6M,49M,49.5M,50M,50.6M,51.2M,51.8M,52.4M,53.1M,53.9M,54.7M,55.9M,56.4M,56.6M,57.3M,58.1M
