country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,195000000,197000000,21000000,226000000,236000000,244000000,254000000,259000000,264000000,274000000,282000000,292000000,305000000,315000000,327000000,338000000,346000000,356000000,367000000,378000000
Bangladesh,129000000,132000000,134000000,137000000,139000000,141000000,143000000,144000000,145000000,147000000,148000000,150000000,152000000,154000000,156000000,158000000,160000000,162000000,164000000,166000000
Cambodia,121000000,123000000,126000000,128000000,13000000,132000000,135000000,137000000,139000000,142000000,144000000,146000000,148000000,15000000,152000000,154000000,156000000,158000000,16000000,162000000
Ethiopia,67000000,69000000,711000000,732000000,753000000,775000000,797000000,82000000,844000000,868000000,892000000,918000000,945000000,971000000,997000000,102000000,105000000,108000000,111000000,114000000
Senegal,97000000,994000000,102000000,104000000,107000000,11000000,113000000,116000000,119000000,122000000,125000000,129000000,132000000,136000000,14000000,144000000,148000000,152000000,156000000,16000000
