country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,5600000000,6410000000,7230000000,7870000000,7980000000,8870000000,9350000000,10600000000,11100000000,13400000000,15400000000,15400000000,17400000000,18400000000,18900000000,19100000000,19600000000,20100000000,20300000000,21100000000
Bangladesh,83500000000,87700000000,91100000000,95400000000,100000000000,107000000000,114000000000,122000000000,129000000000,136000000000,144000000000,153000000000,163000000000,173000000000,183000000000,195000000000,209000000000,223000000000,239000000000,258000000000
Cambodia,5910000000,6400000000,6820000000,7400000000,8160000000,9240000000,10200000000,11300000000,12000000000,12000000000,12800000000,13700000000,14700000000,15700000000,16900000000,18000000000,19300000000,20700000000,22200000000,23800000000
Ethiopia,17400000000,18800000000,19100000000,18700000000,21200000000,23700000000,26300000000,29300000000,32400000000,35300000000,39700000000,44200000000,48000000000,53100000000,58500000000,64600000000,70700000000,77400000000,82700000000,89600000000
Senegal,10500000000,10900000000,10900000000,11500000000,12100000000,12600000000,12900000000,13200000000,13700000000,14100000000,14600000000,14800000000,15400000000,15700000000,16700000000,17800000000,18900000000,20300000000,21600000000,22600000000
