country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,873000000000,890000000000,926000000000,954000000000,995000000000,1030000000000,1050000000000,1090000000000,1130000000000,1150000000000,1180000000000,1210000000000,1260000000000,1290000000000,1320000000000,1350000000000,1390000000000,1420000000000,1460000000000,1490000000000
Japan,3990000000000,4000000000000,4000000000000,4070000000000,4150000000000,4230000000000,4290000000000,4350000000000,4300000000000,4050000000000,4220000000000,4220000000000,4280000000000,4360000000000,4380000000000,4440000000000,4480000000000,4550000000000,4580000000000,4560000000000
Sweden,365000000000,370000000000,378000000000,387000000000,404000000000,415000000000,435000000000,450000000000,448000000000,428000000000,454000000000,468000000000,465000000000,471000000000,483000000000,505000000000,516000000000,529000000000,539000000000,550000000000
Switzerland,530000000000,538000000000,538000000000,538000000000,552000000000,567000000000,590000000000,614000000000,631000000000,616000000000,636000000000,648000000000,655000000000,667000000000,683000000000,694000000000,708000000000,718000000000,739000000000,747000000000
USA,13800000000000,13900000000000,14100000000000,14500000000000,15100000000000,15600000000000,16000000000000,16400000000000,16400000000000,16000000000000,16400000000000,16600000000000,17000000000000,17300000000000,17700000000000,18200000000000,18500000000000,18900000000000,19500000000000,19900000000000
