country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,1190000000000,1200000000000,1240000000000,1250000000000,1330000000000,1370000000000,1420000000000,1510000000000,1590000000000,1580000000000,1700000000000,1770000000000,1800000000000,1860000000000,1870000000000,1800000000000,1740000000000,1770000000000,1800000000000,1820000000000
Egypt,180000000000,186000000000,190000000000,197000000000,205000000000,214000000000,228000000000,245000000000,262000000000,274000000000,288000000000,294000000000,300000000000,307000000000,316000000000,329000000000,344000000000,358000000000,377000000000,398000000000
Greece,201000000000,210000000000,218000000000,231000000000,242000000000,244000000000,258000000000,266000000000,265000000000,254000000000,240000000000,215000000000,200000000000,195000000000,196000000000,196000000000,195000000000,197000000000,200000000000,204000000000
India,801000000000,839000000000,871000000000,940000000000,1010000000000,1090000000000,1180000000000,1270000000000,1310000000000,1420000000000,1540000000000,1620000000000,1700000000000,1810000000000,1950000000000,2100000000000,2280000000000,2430000000000,2590000000000,2690000000000
South Africa,222000000000,228000000000,236000000000,243000000000,254000000000,268000000000,283000000000,298000000000,307000000000,302000000000,312000000000,322000000000,329000000000,337000000000,342000000000,347000000000,349000000000,353000000000,359000000000,359000000000
