country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,1.97,1.91,1.82,1.76,1.81,1.86,1.89,2.05,2.29,2.12,2.46,2.61,2.76,2.92,3.0,2.66,2.35,2.38,2.26,2.24
Egypt,1.91,1.65,1.62,1.77,1.68,1.85,1.93,2.07,2.15,2.3,2.29,2.35,2.42,2.28,2.5,2.52,2.59,2.49,2.32,2.38
Greece,9.39,9.54,9.8,8.7,8.39,8.36,8.59,8.7,8.74,9.56,8.31,7.46,6.82,5.83,5.53,5.21,5.35,5.37,5.49,5.0
India,0.85,0.842,0.841,0.873,0.906,0.944,0.977,1.06,1.12,1.24,1.26,1.3,1.42,1.4,1.52,1.6,1.64,1.68,1.77,1.77
South Africa,5.84,5.49,5.06,5.51,6.34,5.84,6.45,6.5,6.38,6.47,6.2,6.07,6.39,6.2,6.1,5.76,5.68,5.55,5.42,5.68
