country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,15.2,15.4,16.2,16.9,17.2,17,17.3,17.6,17.0,18.1,17.9,17.5,17.6,16.4,16.2,16.0,15.3,15.3,14.6,14.2
Japan,12.1,11.8,11.7,11.9,12,12,11.8,11.9,11.7,10.8,11.3,11.9,12.3,12,11.3,10.6,10.4,10.3,10.1,9.88
Sweden,9.61,8.93,9.14,9.76,9.67,10.1,10.1,9.98,9.72,8.28,9.15,8.87,8.08,7.66,7.47,7.24,7.13,7.17,7.13,6.67
Switzerland,12.3,14.7,13.3,12.9,13.4,14.6,15.7,14.2,13.9,13.5,12.9,13.1,18.8,17.5,17.0,17.3,19.3,15.1,14.6,14.0
USA,22.0,21.5,21.7,22.2,22.4,22.5,22.3,21.9,20.6,18.6,19.1,18.4,17.8,17.9,18.0,17.8,17.2,17.0,17.4,16.9
