country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,289.0,297.0,316.0,333,343,342,354,366.0,362.0,393.0,394.0,392,400,378,379.0,380.0,370.0,376.0,363.0,361.0
Japan,1540.0,1500.0,1490.0,1520,1530,1540,1510,1520.0,1500.0,1390.0,1440.0,1520,1580,1530,1440.0,1350.0,1330.0,1300.0,1270.0,1240.0
Sweden,85.3,79.5,81.6,87.5,87.1,91,92.2,91.5,89.7,77.0,85.8,84,77.2,73.9,72.9,71.3,71.0,72.2,72.4,68.5
Switzerland,88.4,106.0,96.6,94.8,99.1,108,117,107.0,106.0,104.0,101.0,104,150,141,139.0,143.0,162.0,128.0,124.0,120.0
USA,6210.0,6140.0,6260.0,6450,6590,6690,6680,6620.0,6290.0,5750.0,5940.0,5790,5630,5710,5810.0,5760.0,5630.0,5600.0,5770.0,5660.0
