country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.723,0.74,0.99,1.15,0.866,1.26,1.58,2.17,4.01,6.53,8.17,11.9,10.5,8.84,8.29,8.85,8.48,8.82,9.32,9.85
Bangladesh,25.4,29.2,30.6,34.1,36.5,38.4,41.2,41.9,44.3,48.3,52.4,53.5,60.9,60.3,104.0,72.2,112.0,121.0,127.0,137.0
Cambodia,4.69,5.45,6.84,6.25,7.66,9.33,10.5,11.0,13.0,11.6,16.1,21.9,21.7,25,23.6,28.5,27.5,29.1,34.3,39.2
Ethiopia,3.73,4.38,3.9,4.04,4.1,4.04,4.47,4.81,5.32,5.59,4.99,5.48,7.45,8.22,10.5,11.4,13.0,20.1,19.2,21.4
Senegal,4.62,4.8,5.1,5.8,6.05,6.65,5.8,6.71,7.2,6.29,7.4,9.25,10.1,9.86,11.3,12.0,12.8,13.5,14.7,15.3
