country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,7.23B,7.87B,7.98B,8.87B,9.35B,10.6B,11.1B,13.4B,15.4B,15.4B,17.4B,18.4B,18.9B,19.1B,19.6B,20.1B,20.3B,21.1B
Bangladesh,83.5B,87.7B,91.1B,95.4B,100B,107B,114B,122B,129B,136B,144B,153B,163B,173B,183B,195B,209B,223B,239B,258B
Cambodia,5.91B,6.4B,6.82B,7.4B,8.16B,9.24B,10.2B,11.3B,12B,12B,12.8B,13.7B,14.7B,15.7B,16.9B,18B,19.3B,20.7B,22.2B,23.8B
Ethiopia,17.4B,18.8B,19.1B,18.7B,21.2B,23.7B,26.3B,29.3B,32.4B,35.3B,39.7B,44.2B,48B,53.1B,58.5B,64.6B,70.7B,77.4B,82.7B,89.6B
Senegal,10.5B,10.9B,10.9B,11.5B,12.1B,12.6B,12.9B,13.2B,13.7B,14.1B,14.6B,14.8B,15.4B,15.7B,16.7B,17.8B,18.9B,20.3B,21.6B,22.6B
