country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.037,0.038,0.047,0.051,0.037,0.052,0.062,0.084,0.152,0.238,0.29,0.406,0.345,0.28,0.253,0.262,0.245,0.247,0.254,0.261
Bangladesh,0.197,0.222,0.228,0.25,0.263,0.273,0.289,0.291,0.305,0.329,0.353,0.356,0.4,0.392,0.667,0.457,0.703,0.745,0.775,0.826
Cambodia,0.387,0.442,0.545,0.489,0.589,0.704,0.777,0.801,0.934,0.818,1.12,1.5,1.47,1.66,1.55,1.85,1.76,1.84,2.14,2.42
Ethiopia,0.056,0.063,0.055,0.055,0.054,0.052,0.056,0.059,0.063,0.064,0.056,0.06,0.079,0.085,0.105,0.111,0.123,0.185,0.173,0.188
Senegal,0.476,0.484,0.501,0.556,0.566,0.606,0.515,0.581,0.606,0.516,0.591,0.718,0.763,0.725,0.812,0.835,0.87,0.89,0.942,0.957
