country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,13.1,13.9,14.1,13.4,13.5,14.1,15.2,15.7,16.6,17.1,17.7,18.4,19.7,20.5,21.0,20.3,20.3,20.3,21.0,21.1
Egypt,6.49,6.33,6.17,6.01,5.86,5.87,5.88,5.89,5.9,6.21,6.55,6.62,6.69,6.87,7.06,7.25,6.76,6.3,6.53,6.76
Greece,31.4,32.9,34.5,36.2,38.2,38.6,39.0,40.1,40.7,41.4,35.9,29.8,25.8,24.7,24.6,25.0,25.5,25.9,26.8,28.5
India,3.01,3.05,3.09,3.13,3.17,3.23,3.3,3.37,3.44,3.51,3.78,4.07,4.1,4.12,4.15,4.17,4.22,4.68,4.95,4.97
South Africa,6.42,6.95,7.52,8.14,8.81,9.54,10.3,11.1,12.0,12.4,12.7,12.5,12.3,12.1,11.9,11.9,11.8,11.9,11.9,11.8
