country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,42.2,43.2,43.9,44.5,48.5,51.4,54.5,57.8,61.3,61.2,61.1,62.1,63.1,64.2,65.3,64.5,63.8,64.2,64.6,65.0
Japan,41.5,41.4,41.1,41.5,42.3,42.9,43.3,43.7,43.0,47.2,51.8,51.1,50.4,49.8,50.0,50.8,51.2,52.1,52.5,52.4
Sweden,40.5,42.1,43.7,39.9,41.0,41.4,43.8,46.5,48.0,48.3,49.1,49.6,50.7,52.1,53.3,55.1,56.0,56.0,56.6,57.7
Switzerland,68.7,69.8,71.0,71.2,71.4,71.6,71.9,73.7,74.3,74.0,74.2,75.3,77.1,76.8,77.7,77.4,78.8,78.5,77.1,77.4
USA,68.3,68.3,68.5,69.5,69.2,70.6,71.8,71.3,69.4,70.3,68.6,69.4,69.7,69.2,69.7,72.3,75.6,76.6,80.6,85.9
