country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,1.76,1.72,2.81,2.85,2.79,3.01,3.05,3.42,3.48,4.06,4.5,4.36,4.72,4.81,4.76,4.68,4.67,4.66,4.58,4.62
Bangladesh,3.42,3.49,3.57,3.65,3.73,3.81,3.87,3.92,3.97,4.03,4.08,4.15,4.21,4.27,4.34,4.41,4.47,4.55,4.63,4.7
Cambodia,2.08,2.18,2.27,2.4,2.58,2.85,3.08,3.32,3.46,3.4,3.54,3.73,3.95,4.18,4.41,4.66,4.92,5.19,5.51,5.83
Ethiopia,2.48,2.63,2.78,2.95,3.12,3.17,3.21,3.25,3.29,3.34,3.38,3.45,3.52,3.59,3.67,3.74,3.98,4.25,4.42,4.66
Senegal,2.88,2.93,3.03,3.12,3.22,3.32,3.32,3.33,3.34,3.35,3.36,3.36,3.65,3.97,4.31,4.67,5.07,5.51,5.98,6.09
