country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,19000000,19200000,19500000,19700000,19900000,20200000,20500000,20800000,21200000,21700000,22000000,22400000,22700000,23100000,23500000,23800000,24200000,24600000,25000000,25400000
Japan,127000000,127000000,127000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,127000000,127000000,127000000,127000000,126000000,126000000
Sweden,8870000,8900000,8930000,8960000,9000000,9050000,9100000,9160000,9230000,9300000,9380000,9470000,9560000,9650000,9750000,9850000,9950000,10100000,10200000,10300000
Switzerland,7180000,7220000,7280000,7330000,7380000,7430000,7480000,7540000,7640000,7730000,7820000,7910000,8000000,8090000,8190000,8280000,8370000,8450000,8510000,8580000
USA,282000000,285000000,288000000,291000000,294000000,297000000,300000000,303000000,306000000,309000000,311000000,314000000,317000000,319000000,322000000,325000000,327000000,330000000,332000000,334000000
