country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,19500000,19700000,21000000,22600000,23600000,24400000,25400000,25900000,26400000,27400000,28200000,29200000,30500000,31500000,32700000,33800000,34600000,35600000,36700000,37800000
Bangladesh,129000000,132000000,134000000,137000000,139000000,141000000,143000000,144000000,145000000,147000000,148000000,150000000,152000000,154000000,156000000,158000000,160000000,162000000,164000000,166000000
Cambodia,12100000,12300000,12600000,12800000,13000000,13200000,13500000,13700000,13900000,14200000,14400000,14600000,14800000,15000000,15200000,15400000,15600000,15800000,16000000,16200000
Ethiopia,67000000,69000000,71100000,73200000,75300000,77500000,79700000,82000000,84400000,86800000,89200000,91800000,94500000,97100000,99700000,102000000,105000000,108000000,111000000,114000000
Senegal,9700000,9940000,10200000,10400000,10700000,11000000,11300000,11600000,11900000,12200000,12500000,12900000,13200000,13600000,14000000,14400000,14800000,15200000,15600000,16000000
