country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,176000000,178000000,180000000,183000000,185000000,187000000,189000000,191000000,193000000,195000000,196000000,198000000,200000000,202000000,203000000,205000000,207000000,209000000,210000000,212000000
Egypt,71400000,72900000,74400000,76000000,77500000,79100000,80600000,82200000,83800000,85500000,87300000,89200000,91200000,93400000,95600000,97700000,99800000,102000000,104000000,106000000
Greece,11000000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11000000,11000000,11000000,10900000,10900000,10800000,10700000,10700000,10600000,10600000
India,1060000000,1080000000,1100000000,1120000000,1140000000,1150000000,1170000000,1190000000,1210000000,1220000000,1240000000,1260000000,1270000000,1290000000,1310000000,1320000000,1340000000,1350000000,1370000000,1380000000
South Africa,46800000,47200000,47700000,48100000,48600000,49000000,49500000,50000000,50600000,51200000,51800000,52400000,53100000,53900000,54700000,55900000,56400000,56600000,57300000,58100000
