country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,347.0,340.0,329.0,322,334,348,357,392.0,442.0,412.0,484.0,518,552,589,610.0,546.0,485.0,496.0,475.0,475.0
Egypt,136.0,120.0,120.0,134,130,147,156,170.0,180.0,196.0,200.0,210,220,213,239.0,246.0,259.0,254.0,241.0,252.0
Greece,104.0,106.0,109.0,96.6,93.2,92.9,95.4,96.5,96.7,106.0,91.6,82.1,74.8,63.6,60.1,56.3,57.5,57.4,58.4,52.9
India,901.0,908.0,923.0,976,1030,1090,1150,1260.0,1350.0,1520.0,1570.0,1630,1810,1810,1980.0,2110.0,2200.0,2280.0,2420.0,2450.0
South Africa,273.0,259.0,241.0,265,308,286,319,325.0,323.0,331.0,321.0,318,340,334,334.0,322.0,320.0,314.0,311.0,330.0
